command,explanation,bikou ^
nslookup,name server look up ドメインとIPアドレスが変換できているか確認.ローカルのhosts ファイルの中身を反映する,nslookup yahoo.co.jp ^
title,コマンド プロンプト ウィンドウのウィンドウ タイトルを設定します。TITLE [文字列]  文字列       コマンド プロンプト ウィンドウのタイトルを指定します。, ^
dir /o:d,/oはdirのオプション。:dは/oのオプション。この記述はファイル名を日付降順で表示する。, ^
chkdsk,ディスクをチェックし、現在の状態を表示します。 
CHKDSK [ボリューム[[パス]ファイル名]]] [/F] [/V] [/R] [/X] [/I] [/C] [/L[:サイズ]], , ^
chkdsk /f,ディスクのエラーを修復します。, ^
chkdsk /v,FAT/FAT32:ディスクの全ファイルの完全なパスと名前を表示します。NTFS: クリーン アップ メッセージがあればそれも表示します。, ^
chkdsk /l, NTFS のみ: ログ ファイル サイズを指定された KB 数に変更します。サイズが指定されていないときは、現在のサイズを表示します。, ^
chkdsk /x,必要であれば、最初にボリュームを強制的にマウントを解除します。ボリュームへ開かれているすべてのハンドルは、無効になります。, ^
chkdsk /i,NTFS のみ: インデックス エントリのチェックを抑制して実施します。/I または /C スイッチは、ボリュームのあるチェックをスキップして、Chkdsk の実行時間を短くします。/I または /C スイッチは、ボリュームのあるチェックをスキップして、Chkdsk の実行時間を短くします。, ^
chkdsk /c, NTFS のみ; フォルダ構造内の周期的なチェックをスキップ します。/I または /C スイッチは、ボリュームのあるチェックをスキップして、Chkdsk の実行時間を短くします。, ^
［Control－←］,語単位でカーソルを右へ移動, ^
［Control－→］,語単位でカーソルを左へ移動, ^
［Control－Home］,行の先頭からカーソル位置までを削除, ^
［Control－End］,カーソル位置から行末までを削除, ^
［F1］,［→］キーと同じ, ^
［F2］,指定した文字（［F2］キーに続いて入力する）の直前までコピー, ^
［F3］,直前の行をすべてコピーして、カーソルを行末へ移動, ^
［F4］,カーソル位置から指定した文字（［F4］キーに続いて入力する）の直前までを削除, ^
［F5］,［↑］キーと同じ, ^
［F6］,EOF（Control-Z）を入力, ^
［F7］,コマンド履歴ウィンドウをポップアップ表示する。［↑］、［↓］キーでコマンド履歴を選択して、［←］、［→］キーを押すとそのコマンドが入力され、リターン キーを押すとそのコマンドが入力、実行される, ^
［F8］,コマンド履歴からカーソルの左側部分に一致するものを選び、順番に表示する。カーソルが行の先頭にあるときは、全コマンド履歴を順番に表示, ^
［F9］,指定した履歴番号のコマンドを入力。番号を入力してからリターン キーを押すとコマンドが入力される, ^
cmd /E:ON,コマンド拡張機能を有効にします, ^
cmd /E:OFF,コマンド拡張機能を無効にします, ^
cmd /F:ON,ファイル名およびディレクトリ名補完文字を有効にします, ^
cmd /F:OFF,ファイルおよびディレクトリ名補完文字を無効にします, ^
cmd /V:ON,区切り文字として ! を使って遅延環境変数の展開を有効にします。, ^
［Alt－Space（システム メニュー）］－［E（編集）］－［K（範囲指定）］,システムメニューの表示＞範囲選択＞選択した後リターンキーでクリップボードにコピーされる, ^
［Alt－Space（システム メニュー）］－［E（編集）］－［P（貼り付け）］,クリップボードから貼り付け。他エクスプローラでフォルダやファイルをドラッグして、コマンド プロンプト ウィンドウにドロップするとコマンドライン上にパス名が展開、入力される。, ^
set,cmd.exe 環境変数を表示、設定、または削除します。SET [変数名=[文字列]]  変数名   環境変数名を指定します。  文字列   変に割り当てる文字列を指定します。, ^
C:\>set pathext,拡張子を省略して入力した時の実行される優先順を表示する。pathextは環境変数　例）：　PATHEXT=.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH, ^
dfrg.msc,Xｐデフラグツールの起動, ^
ipconfig　/release,IPアドレスの解放, ^
arp,IPから物理アドレスへのアドレス解決プロトコル(ARP)によって使用される変換テーブルを、表示して、変更します。,arp -a; ARP（Address Resolution Protocol）というIPアドレスから対応するMACアドレスを調べるプロトコル ^
getmac, このコマンドライン ツールを使って、管理者がシステム上の 1 つ以上のアダプタ の MAC アドレスを表示することができます。,XP以降のみ使用可 ^
ipconfig /flushdns,キャッシュのクリア, ^
net share,共有ディレクトリ名・共有ディレクトリパスを表示, ^
net user,ユーザアカウントの一覧を表示, ^
net file,ネットワーク越しに使用中のファイル一覧を表示する, ^
net view,ネットワーク上コンピュータ名を一覧する, ^
net session,クライアントの一覧情報, ^
if文,if exist c:\file1.txt copy c:\file1.txt c:\backup,test.bat　としてダブルクリックすると実行される。「もしc:\file1.txtがあるならc:\backupとしてコピーせよ」 ^
rem,remark 注目、注釈, ^
echo,メッセージの表示　echo メッセージです! 　echo [on|off]コマンドプロンプトの 表示するメッセージをオンしたりオフしたり, ^
echo %username%,ユーザー名の表示, ^
fsutil file createnew,C:\Documents and Settings\やま>fsutil file createnew testfile2.txt 200000000000 →　エラー:  ディスクに十分な空き領域がありません。指定したサイズのファイルを一発で作成する（ディスク空き容量、ファイルシステムの制限は当然受ける。作成されるファイルの中身は、すべてゼロで埋められる。16進数でいうと、0x00というバイト・データばかりが詰まったファイルとなる。ほかの値を指定することはできない。, ^
at,タスクを登録する：
C:\>at 1 /delete 
C:\>at 0:00 /every:M~,S 
c:\test.bat 
新しいジョブをジョブ ID = 1 で追加しました。 
C:\>at 状態 ID 日付              時刻         
コマンド ライン
-------------------
1   毎 月曜日 土曜日        0:00          :
\test.bat
,admin権限が無いと使えな ^
clipbrd,クリップボードビューアの起動, ^
regsvr32,regsvr32 とはCOMコンポーネントをシステムに登録するために使う、Windows付属のコンソールプログラムです。 コンソールプログラムなのでコマンドプロンプトなどで実行します。, ^
set path=%path%;C:\WINDOWS\Microsoft.NET\Framework\v2.0.50727,環境変数PATHにディレクトリを追加する書き方。環境変数のPATHに登録されていないディレクトリにあるファイルはコマンドプロンプトから実行することが出来ない。プロンプトを閉じてしまうと変数は設定前に戻ってしまうので、永続的な設定はコントロールパネル＞システム＞環境変数で設定する（XP|2000), ^
set /a,式の計算　　>set /a 1+1　　2　, ^
regasm,アセンブリ登録ツールは、1 つのアセンブリに含まれるメタデータを読み込み、必要なエントリをレジストリに追加します。これにより、COM クライアントによって .NET Framework クラスが自動的に作成されます。クラスが登録されると、どの COM クライアントでも、そのクラスを COM クラスであるかのように使用できます。クラスの登録は、アセンブリのインストール時に 1 回だけ行われます。実際に登録されるまでは、アセンブリに含まれるクラスのインスタンスを COM から作成することはできません。regasm assemblyFile [options], ^
%変数名%,環境変数の値そのもの, ^
%変数名:置換前=置換後%,環境変数の値の中で、置換前の文字列にマッチする部分を全て置換後の文字列に置き換える。, ^
%変数名:~位置,長さ%,環境変数の値の一部（副文字列）。
位置は0から始まる。また、全角文字も1文字として扱われる。, , ^
!変数名!,環境変数の値そのもの。（遅延環境変数を有効にした（コマンドプロンプトの起動時に「/v:on」を指定した）場合のみ使用可能）, ^
