COMMAND,EXPLANATION,BIKOU ^
C:\USERS\YAMA>CSCRIPT.EXE /?, WINDOWS SCRIPT HOSTの使い方表示,^
FC TEST1.TXT TEST2.TXT, FC はFILE COMPARE ファイルの内容が同じかどうかを判定する
C:\USERS\YAMA\DESKTOP>FC DB1.MDB DB2.MDB
ファイル DB1.MDB と DB2.MDB を比較しています
FC: 相違点は検出されませんでした,^
FIND,FIND "検索文字列" [パス]ファイル名
検索した文字列を含む行を出力する。,^
>,リダイレクト。C:\>TREE /F > HOGE.TXT で出力先が指定したファイルになる。,^
>>,リダイレクト。C:\>TREE /F >> HOGE.TXT で出力が指定したファイルに追記される。,^
|,パイプ。コマンドとコマンドを繋いで実行。
TYPE HOGE.TXT | FIND "FUSHU"" で、FUSHUを含む行だけをHOGE.TXTから出力する,^
@,@マークはプロンプトにコマンドそのものを表示しないとする命令.バッチジョブ CMDRun.bat
----------------------
@ CMD /K
----------------------
を実行するとbatファイルを置いたディレクトリがカレントディレクトリとしてプロンプトが開かれる。
@マークを付けないとCMD /K を実行した行が表示されてしまう。
